1,Uppland,yes,6,6,3,grain,no,no,no,2,0,europe,28
2,Ostergotland,yes,2,2,2,grain,no,no,no,na,0,europe,9
3,Kalmar,yes,2,2,1,naval_supplies,no,yes,no,na,0,europe,10
4,Bergslagen,yes,2,3,2,iron,no,no,no,na,0,europe,11
5,Varmland,yes,1,1,1,iron,no,no,no,na,0,europe,7
6,Skane,yes,7,7,6,grain,no,yes,no,na,0,europe,26
7,Skaraborg,yes,2,2,2,grain,no,no,no,na,0,europe,9
8,Dalaskogen,yes,1,2,2,copper,no,no,no,na,1,europe,34
9,Halsingland,yes,2,2,1,fish,no,no,no,na,0,europe,7
10,Jamtland,yes,1,1,1,fur,no,no,no,na,0,europe,6
11,Vasterbotten,yes,1,1,1,fur,no,no,no,na,0,europe,6
12,Sjaelland,yes,8,8,4,fish,no,yes,no,2,1,europe,60
13,Slesvig,yes,4,4,3,livestock,no,no,no,na,0,europe,13
14,Fyn,yes,5,5,4,fish,no,no,no,na,0,europe,16
15,Jylland,yes,2,2,1,livestock,no,no,no,na,0,europe,7
16,Bohuslan,yes,2,2,2,fish,no,no,no,na,0,europe,8
17,Akershus,yes,3,3,2,fish,no,no,no,1,0,europe,15
18,Lappland,yes,1,1,1,fur,no,no,no,na,0,europe,6
19,Osterbotten,yes,1,1,1,fur,no,yes,no,na,0,europe,9
20,Trondelag,yes,3,3,2,fish,no,yes,no,1,0,europe,18
21,Halogaland,yes,2,2,1,fish,no,no,no,na,0,europe,7
22,Eisdiva,yes,1,1,1,naval_supplies,no,no,no,na,0,europe,5
23,Bergenshus,yes,3,3,1,naval_supplies,no,no,no,2,0,europe,19
24,Agder,yes,3,2,1,fish,no,no,no,na,0,europe,8
25,Gotland,yes,4,4,2,wool,no,yes,no,1,1,europe,45
26,Halland,yes,3,3,2,livestock,no,no,no,na,0,europe,10
27,Finland,yes,3,3,2,grain,no,yes,no,na,0,europe,14
28,Nyland,yes,2,2,2,naval_supplies,no,no,no,na,0,europe,8
29,Tavastland,yes,1,1,1,fur,no,no,no,na,0,europe,6
30,Viborg,yes,2,2,2,fur,no,yes,no,na,0,europe,12
31,Savolaks,yes,1,1,1,fur,no,yes,no,na,0,europe,9
32,Keksholm,yes,2,2,1,fur,no,no,no,na,0,europe,8
33,Neva,yes,3,3,1,fur,no,no,yes,1,1,europe,53
34,Ingermanland,yes,3,3,1,fur,no,yes,no,na,0,europe,13
35,Osel,yes,1,1,1,grain,no,no,no,na,0,europe,6
36,Estland,yes,4,4,2,grain,no,yes,no,1,0,europe,21
37,Livland,yes,3,3,2,livestock,no,no,no,na,0,europe,10
38,Riga,yes,5,5,1,naval_supplies,no,yes,yes,1,0,europe,34
39,Kurland,yes,3,3,1,naval_supplies,no,no,no,na,0,europe,9
40,Memel,yes,3,3,5,livestock,no,no,yes,na,0,europe,26
41,Konigsberg,yes,5,8,3,paper,no,yes,no,1,0,europe,29
42,Warmia,yes,3,3,2,naval_supplies,no,no,no,na,0,europe,10
43,Danzig,yes,7,7,2,gems,no,no,yes,2,0,europe,44
44,Hamburg,yes,7,7,5,fish,no,yes,yes,2,0,europe,47
45,Lubeck,yes,7,8,3,naval_supplies,no,yes,no,2,0,europe,33
46,Rostock,yes,4,4,2,naval_supplies,no,no,no,na,0,europe,12
47,Stralsund,yes,2,2,2,fish,no,no,no,1,0,europe,13
48,Kolberg,yes,2,4,2,fish,no,no,no,na,0,europe,10
49,Neumark,yes,2,2,2,livestock,no,no,no,na,0,europe,8
50,Berlin,yes,6,6,6,cloth,no,yes,no,1,1,europe,56
51,Ruppin,yes,2,2,1,livestock,no,no,no,na,0,europe,7
52,Magdeburg,yes,4,4,2,cloth,no,yes,no,2,0,europe,28
53,Luneburg,yes,3,3,2,salt,no,no,no,na,0,europe,12
54,Stade,yes,2,2,2,fish,no,no,no,na,0,europe,8
55,Oldenburg,yes,3,2,2,salt,no,no,no,na,0,europe,11
56,Osnabruck,yes,3,4,2,salt,no,no,no,na,0,europe,13
57,Brunswick,yes,3,3,3,iron,no,yes,no,na,0,europe,16
58,Anhalt,yes,2,2,2,wool,no,no,no,na,0,europe,8
59,Wittenberg,yes,4,4,2,wool,no,no,no,na,0,europe,12
60,Lausitz,yes,2,2,1,cloth,no,no,no,na,0,europe,10
61,Dresden,yes,6,6,2,iron,no,yes,no,1,0,europe,26
62,Leipzig,yes,4,4,2,paper,yes,no,no,na,0,europe,25
63,Erfurt,yes,5,4,3,dyes,no,yes,no,1,0,europe,25
64,Landshut,yes,5,5,2,salt,no,yes,no,na,0,europe,19
65,Munchen,yes,6,6,4,grain,no,yes,no,na,0,europe,22
66,Bamberg,yes,2,2,2,wine,no,no,no,na,0,europe,9
67,Nurnberg,yes,8,8,3,paper,no,no,no,2,0,europe,34
68,Memmingen,yes,5,5,3,cloth,no,no,no,na,0,europe,18
69,Dortmund,yes,6,5,1,cloth,no,no,no,1,0,europe,22
70,Wurttemberg,yes,5,5,3,grain,no,no,no,na,0,europe,16
71,Ansbach,yes,3,3,2,salt,no,no,no,na,0,europe,12
72,Breisgau,yes,4,4,3,glass,no,yes,no,na,0,europe,18
73,Tirol,yes,3,8,2,gold,no,no,no,na,1,europe,48
74,Baden,yes,3,4,2,wine,no,no,no,na,0,europe,12
75,Elsass,yes,6,6,4,paper,no,yes,no,1,0,europe,29
76,Salzburg,yes,5,5,4,salt,no,no,no,1,0,europe,23
77,Heidelberg,yes,5,5,4,wine,no,yes,no,na,0,europe,20
78,Mainz,yes,4,4,2,paper,no,yes,no,1,0,europe,23
79,Wurzburg,yes,4,4,3,wine,no,yes,no,na,0,europe,17
80,Trier,yes,5,5,2,grain,no,no,no,na,0,europe,15
81,Hessen,yes,4,14,3,wool,no,no,no,na,0,europe,23
82,Lippe,yes,3,3,1,wool,yes,no,no,na,0,europe,19
83,Nassau,yes,3,3,3,copper,no,no,no,na,0,europe,13
84,Berg,yes,4,4,1,cloth,no,yes,no,na,0,europe,17
85,Koln,yes,6,12,3,paper,no,yes,no,2,1,europe,64
86,Munster,yes,8,8,2,cloth,no,yes,no,na,0,europe,26
87,Calais,yes,5,5,3,fish,no,yes,no,1,0,europe,23
88,Artois,yes,6,10,3,cloth,no,no,no,na,0,europe,24
89,Picardie,yes,5,5,5,grain,no,yes,no,na,0,europe,21
90,Vlaanderen,yes,7,7,4,cloth,no,no,no,2,0,europe,33
91,Hainaut,yes,6,6,3,cloth,yes,no,no,na,0,europe,30
92,Brabant,yes,7,7,4,cloth,no,no,no,na,0,europe,23
93,Liege,yes,6,6,3,glass,no,yes,no,na,0,europe,22
94,Luxemburg,yes,5,9,2,iron,no,yes,no,na,0,europe,23
95,Breda,yes,4,7,2,cloth,no,no,no,na,0,europe,18
96,Zeeland,yes,5,6,1,salt,no,no,no,na,0,europe,16
97,Holland,yes,6,6,4,cloth,no,no,no,2,2,europe,81
98,Utrecht,yes,5,10,2,cloth,no,yes,no,na,0,europe,25
99,Gelre,yes,6,9,3,livestock,no,no,no,na,0,europe,20
100,Friesland,yes,6,9,2,livestock,no,no,no,na,0,europe,19
101,Genoa,yes,10,10,5,paper,no,yes,no,3,0,europe,48
102,Nice,yes,4,4,2,fish,no,no,no,na,0,europe,12
103,Piedmont,yes,7,7,3,wine,no,yes,no,na,0,europe,23
104,Milan,yes,8,7,6,cloth,no,yes,no,2,1,europe,64
105,Parma,yes,6,5,4,livestock,no,no,no,na,0,europe,17
106,Modena,yes,5,5,2,livestock,no,no,no,na,0,europe,14
